Abb1,Abb2,Bmsy,Fmsy,B.Bmsy,F.Fmsy,TM_ABC,TM,ABC,Assessment_Year,Spp_type
Petrale,Petrale,8369.08,0.160505,1.229513877,0.788822778,NA,NA,NA,2015,Flatfishes
Sablefish,Sablefish,60248.9,0.0458022,0.863101235,0.564114824,NA,NA,NA,2015,Other
Widow,Widow,18246.5,0.0923088,3.050919354,0.06211293,NA,NA,NA,2015,Scorpaenids
ATF,Arrowtooth,16362,NA,3.465976042,0.273000002,0.404469937,4090,10112,2017,Flatfishes
Blackgill,Blackgill,825475,NA,0.984280566,0.345999986,NA,NA,NA,2017,Scorpaenids
Blue_Deacon_CA,Blu_Dec_CA,871.072,NA,0.932743792,0.667999983,NA,NA,NA,2017,Scorpaenids
Blu_Dec_OR,Blu_Dec_OR,172.411,0.0555624,1.714008967,0.252548486,NA,NA,NA,2017,Scorpaenids
Bocaccio,Bocaccio,2.96E+06,NA,1.216216216,0.109999999,NA,NA,NA,2017,Scorpaenids
CA_scorpfish,CA_scorp,649.774,0.15019,1.358098354,0.286304015,NA,NA,NA,2017,Scorpaenids
Canary,Canary,2984.33,NA,1.412541508,0.150000006,NA,NA,NA,2017,Scorpaenids
Chilipepper,Chilipepper,2.72E+06,NA,1.730182064,0.054000001,0.145962733,376,2576,2017,Scorpaenids
Darkblotched,Darkblotched,1417720000,NA,1.000705358,0.280000001,NA,NA,NA,2017,Scorpaenids
Lingcod_N,Lingcod_N,15189.6,NA,1.446759625,0.25,0.093186995,450,4829,2017,Other
Lingcod_S,Lingcod_S,8184.68,NA,0.823729211,0.597000003,NA,NA,NA,2017,Other
Pacific hake - Pacific Coast,P. Hake,,NA,2.23,0.688000023,NA,NA,NA,2017,Other
POP,POP,2755.67,0.0332907,1.916187352,0.016374483,0.026000001,159,1173,2017,Scorpaenids
Yelloweye,Yelloweye,9.11E+02,NA,0.709205179,0.187999994,0.187999994,8,32,2017,Scorpaenids
Ytail N,Yellowtail,5.99859,NA,1.880141833,0.294,0.294,NA,NA,2017,Scorpaenids
Big_skate,Big_skate,1009.82,0.0705301,1.97990731,0.112892652,NA,NA,NA,2019,Other
Black_CA,Black_CA,424.609,0.0637094,1.435685537,0.384954183,NA,NA,NA,2019,Scorpaenids
Black_OR,Black_OR,527.378,0.115121,1.412425243,0.733665448,NA,NA,NA,2019,Scorpaenids
Black_WA,Black_WA,542.332,0.0822484,1.487089089,0.544641598,NA,NA,NA,2019,Scorpaenids
Blackgill,Blackgill,825476,NA,1.03695807,0.337334,NA,NA,NA,2019,Scorpaenids
Blu_Dec_CA,Blu_Dec_CA,871.072,0.0453972,1.037154219,0.741360701,NA,NA,NA,2019,Scorpaenids
Cab_NCA,Cabezon_NCA,394.564,0.139597,1.628691416,0.39747559,NA,NA,NA,2019,Other
Cab_OR,Cabezon_OR,134.003,0.161402,1.321097289,0.742060198,NA,NA,NA,2019,Other
Cab_SCA,Cabezon_SCA,81.8337,0.128728,1.229224635,0.254757318,NA,NA,NA,2019,Other
Canary,Canary,2980.92,0.0361891,1.431561397,0.448828515,NA,NA,NA,2019,Scorpaenids
China_C,China_C,26.0408,NA,1.60936684,0.48807,NA,NA,NA,2019,Scorpaenids
China_N,China_N,9.77652,NA,1.897996424,0.172013,NA,NA,NA,2019,Scorpaenids
China_S,China_S,26.6047,NA,0.776392893,0.971816,NA,NA,NA,2019,Scorpaenids
Cowcod,Cowcod,114,0.0432375,1.429824561,0.017675744,0.088355981,NA,NA,2019,Scorpaenids
Dkbltched,Darkblotched,1417720000,0.0321321,1.099490732,0.489043667,NA,NA,NA,2019,Scorpaenids
Dover,Dover,117467,0.127581,3.105025241,0.13205493,0.383178224,10952,28582,2019,Flatfishes
Gphy_Byel,Gopher_BLKYL,504.356,0.110579,1.095420695,0.67444361,NA,NA,NA,2019,Scorpaenids
Greenstrp,Greenstriped,2.84E+09,0.0442455,1.95,0.00873099,NA,NA,NA,2019,Scorpaenids
Lingcod_N,Lingcod_N,15189.6,NA,1.552555696,0.11687,0.093186995,450,4829,2019,Other
Lingcod_S,Lingcod_S,8103.96,0.132178,0.841765014,0.354673,NA,NA,NA,2019,Other
Longnose,Longnose,4900.96,0.038771,1.412523261,0.400355936,0.424288773,1387,3269,2019,Other
LST,LST,"15,654",0.06,1.81357643,0.1,0.266886924,NA,NA,2019,Scorpaenids
Pacific hake - Pacific Coast,P. Hake,6.60E+02,0.183,2.498484848,0.633879781,NA,NA,NA,2019,Other
Petrale,Petrale,8351.48,0.172524,1.565914066,0.690095291,NA,NA,NA,2019,Flatfishes
Rougheye,Rougheye,4315.08,0.026793,1.3617824,1.005348412,0.98,NA,NA,2019,Scorpaenids
Sablefish,Sablefish,59091.6,0.0487953,0.972116172,0.721571545,NA,NA,NA,2019,Other
SpinyDog,SpinyD,28289.5,0.015971,1.542052705,0.626535596,NA,NA,NA,2019,Other
Splitnose,Splitnose,4.12.E+09,0.0328037,2.993297971,0.930675503,0.303687636,140,461,2019,Scorpaenids
SST,SST,75906.1,0.0152922,1.831855411,0.229154732,0.393977947,NA,NA,2019,Scorpaenids
Widow,Widow,35198,0.0835998,2.298695949,0.692853332,NA,NA,NA,2019,Scorpaenids
Yelloweye,Yelloweye,9.11E+02,0.0218466,0.771351471,0.256205542,0.187999994,8,32,2019,Scorpaenids
